m = 
1 2 3 0 0 = columns for wave, Re(n), Im(n), eps1, eps2
   LAMBDA     Re(N)     Im(N)
  0.012782    0.9693    0.0297
  0.012915    0.9684    0.0299
  0.012942    0.9680    0.0299
  0.013051    0.9668    0.0310
  0.013190    0.9665    0.0325
  0.013246    0.9669    0.0330
  0.013332    0.9672    0.0327
  0.013477    0.9663    0.0321
  0.013625    0.9649    0.0325
  0.013776    0.9637    0.0332
  0.013931    0.9626    0.0340
  0.014089    0.9617    0.0349
  0.014251    0.9607    0.0358
  0.014417    0.9599    0.0368
  0.014586    0.9590    0.0379
  0.014760    0.9582    0.0388
  0.014795    0.9581    0.0390
  0.014938    0.9574    0.0399
  0.015120    0.9565    0.0410
  0.015307    0.9557    0.0421
  0.015498    0.9549    0.0433
  0.015694    0.9540    0.0444
  0.015895    0.9532    0.0457
  0.016102    0.9523    0.0469
  0.016314    0.9514    0.0482
  0.016531    0.9502    0.0495
  0.016755    0.9493    0.0518
  0.016869    0.9495    0.0528
  0.016984    0.9494    0.0532
  0.017220    0.9485    0.0541
  0.017463    0.9474    0.0557
  0.017712    0.9472    0.0576
  0.017969    0.9466    0.0580
  0.018233    0.9444    0.0589
  0.018505    0.9422    0.0613
  0.018785    0.9406    0.0640
  0.019074    0.9394    0.0673
  0.019104    0.9394    0.0676
  0.019403    0.9389    0.0708
  0.019711    0.9392    0.0744
  0.019869    0.9403    0.0759
  0.020030    0.9413    0.0759
  0.020359    0.9407    0.0756
  0.020699    0.9384    0.0764
  0.021050    0.9356    0.0789
  0.021194    0.9347    0.0800
  0.021340    0.9337    0.0813
  0.021488    0.9327    0.0825
  0.021638    0.9310    0.0837
  0.021790    0.9288    0.0859
  0.021944    0.9269    0.0894
  0.022101    0.9254    0.0941
  0.022259    0.9264    0.1007
  0.022420    0.9296    0.1060
  0.022584    0.9349    0.1111
  0.022749    0.9439    0.1137
  0.022918    0.9540    0.1099
  0.023088    0.9581    0.0996
  0.023262    0.9548    0.0915
  0.023437    0.9501    0.0892
  0.023616    0.9470    0.0879
  0.023843    0.9430    0.0870
  0.024311    0.9359    0.0885
  0.024797    0.9308    0.0921
  0.025303    0.9267    0.0954
  0.025830    0.9227    0.0996
  0.026380    0.9192    0.1043
  0.026953    0.9163    0.1090
  0.027552    0.9135    0.1133
  0.027737    0.9122    0.1142
  0.028178    0.9092    0.1183
  0.029520    0.9022    0.1308
  0.030996    0.8957    0.1450
  0.032627    0.8893    0.1611
  0.034440    0.8830    0.1794
  0.036466    0.8767    0.2002
  0.038745    0.8696    0.2239
  0.041328    0.8571    0.2520
  0.042753    0.8515    0.2760
  0.044280    0.8517    0.2994
  0.045920    0.8535    0.3222
  0.047686    0.8557    0.3447
  0.049594    0.8575    0.3673
  0.051660    0.8573    0.3907
  0.053906    0.8519    0.4167
  0.056356    0.8379    0.4535
  0.059040    0.8253    0.5150
  0.061992    0.8354    0.5985
  0.065255    0.8737    0.6868
  0.068880    0.9389    0.7722
  0.072932    1.0325    0.8475
  0.077490    1.1560    0.9018
  0.082656    1.3088    0.8905
  0.088560    1.3296    0.8694
  0.091165    1.3739    0.9175
  0.093221    1.4293    0.9326
  0.095372    1.4828    0.9361
  0.097625    1.5361    0.9332
  0.099995    1.5907    0.9263
     0.102    1.6515    0.9122
     0.105    1.7114    0.8735
     0.108    1.7476    0.8326
     0.111    1.7814    0.7946
     0.115    1.8155    0.7552
     0.118    1.8413    0.7256
     0.122    1.8675    0.6956
     0.125    1.8921    0.6688
     0.128    1.9115    0.6482
     0.131    1.9307    0.6293
     0.133    1.9510    0.6105
     0.136    1.9739    0.5912
     0.139    1.9979    0.5734
     0.141    2.0170    0.5609
     0.143    2.0370    0.5483
     0.144    2.0600    0.5297
     0.146    2.0820    0.5044
     0.149    2.1090    0.4489
     0.155    2.1200    0.3368
     0.160    2.1010    0.2601
     0.165    2.0690    0.1976
     0.170    2.0390    0.1571
